	jopa	
12:37:18.018	0	
12:37:18.082	0	
12:37:18.145	0	
12:37:18.210	0	
12:37:18.268	0	
12:37:18.521	0	
12:37:18.583	0	
12:37:18.646	0	
12:37:18.706	0	
12:37:18.778	0	
12:37:18.896	0	
12:37:19.122	0	
12:37:24.805	0	
12:37:24.859	0	
12:37:24.921	0	
12:37:24.984	0	
12:37:25.046	0	
12:37:25.108	0	
12:37:25.171	0	
12:37:25.233	0	
12:37:25.295	0	
12:37:25.358	0	
12:37:25.421	0	
12:37:25.483	0	
12:37:25.547	0	
12:37:25.608	0	
12:37:25.670	0	
12:37:25.732	0	
12:37:25.795	0	
